uf,nome,regiao,lente,populacao,n_ativos,n_abono,A_raw,B_raw,A_pct,B_pct,quadrante,classe,gravidade,posicao,flags
SP,São Paulo,Sudeste,total,46179008,650,45,0.14,0.0692,0.0,7.7,deserto_estavel,Deserto estável,53.8,11,
TO,Tocantins,Norte,total,1595994,3749,1366,23.49,0.3644,92.3,100.0,presenca_em_risco,Presença em risco,53.8,11,
DF,Distrito Federal,Centro-Oeste,total,3009996,6796,2459,22.58,0.3618,88.5,96.2,presenca_em_risco,Presença em risco,53.8,11,
RN,Rio Grande do Norte,Nordeste,total,3463737,1380,350,3.98,0.2536,61.5,65.4,presenca_em_risco,Presença em risco,52.0,16,
AM,Amazonas,Norte,total,4360926,1539,369,3.53,0.2398,57.7,61.5,presenca_em_risco,Presença em risco,51.9,17,
GO,Goiás,Centro-Oeste,total,7495033,1161,148,1.55,0.1275,25.0,26.9,deserto_estavel,Deserto estável,51.0,18,
RR,Roraima,Norte,total,761012,1789,555,23.51,0.3102,96.2,84.6,presenca_em_risco,Presença em risco,44.2,19,
RJ,Rio de Janeiro,Sudeste,total,17225410,3463,430,2.01,0.1242,38.5,23.1,deserto_estavel,Deserto estável,42.3,20,
MS,Mato Grosso do Sul,Centro-Oeste,total,2946317,1455,247,4.94,0.1698,73.1,46.2,presenca_consolidada,Presença consolidada,36.6,21,
BA,Bahia,Nordeste,total,14889472,3445,385,2.31,0.1118,42.3,15.4,deserto_estavel,Deserto estável,36.6,21,
MT,Mato Grosso,Centro-Oeste,total,3950330,1308,151,3.31,0.1154,53.8,19.2,presenca_consolidada,Presença consolidada,32.7,23,
AP,Amapá,Norte,total,809953,2049,461,25.3,0.225,100.0,50.0,presenca_em_risco,Presença em risco,25.0,24,
ES,Espírito Santo,Sudeste,total,4150692,1844,118,4.44,0.064,69.2,3.8,presenca_consolidada,Presença consolidada,17.3,25,
RO,Rondônia,Norte,total,1757338,951,66,5.41,0.0694,76.9,11.5,presenca_consolidada,Presença consolidada,17.3,25,
SE,Sergipe,Nordeste,total,2307255,2953,166,12.8,0.0562,84.6,0.0,presenca_consolidada,Presença consolidada,7.7,27,
