uf,grupo_nucleo,n_ativos,n_abono,nome_grupo,suprimido,B_raw
PE,INSS,1275,160,INSS,False,0.1255
PE,FAZ,668,162,Fazenda (Receita Federal),False,0.2425
PE,IF,3024,263,Institutos Federais,False,0.087
PE,UNIV,8849,1347,Universidades,False,0.1522
PE,IBGE,109,0,IBGE,False,0.0
AL,INSS,263,90,INSS,False,0.3422
AL,FAZ,90,40,Fazenda (Receita Federal),False,0.4444
AL,IF,724,130,Institutos Federais,False,0.1796
AL,UNIV,3188,373,Universidades,False,0.117
AL,IBGE,55,0,IBGE,False,0.0
SE,INSS,178,48,INSS,False,0.2697
SE,FAZ,116,21,Fazenda (Receita Federal),False,0.181
SE,IF,1339,72,Institutos Federais,False,0.0538
SE,UNIV,2949,235,Universidades,False,0.0797
SE,IBGE,42,0,IBGE,False,0.0
BA,INSS,1188,160,INSS,False,0.1347
BA,FAZ,750,168,Fazenda (Receita Federal),False,0.224
BA,IF,<5,6,Institutos Federais,True,
BA,UNIV,8612,904,Universidades,False,0.105
BA,IBGE,208,0,IBGE,False,0.0
MG,INSS,1726,224,INSS,False,0.1298
MG,FAZ,1469,338,Fazenda (Receita Federal),False,0.2301
MG,IF,8309,177,Institutos Federais,False,0.0213
MG,UNIV,27015,2418,Universidades,False,0.0895
MG,IBGE,267,0,IBGE,False,0.0
ES,INSS,250,46,INSS,False,0.184
ES,FAZ,225,71,Fazenda (Receita Federal),False,0.3156
ES,IF,2929,153,Institutos Federais,False,0.0522
ES,UNIV,3551,325,Universidades,False,0.0915
ES,IBGE,58,0,IBGE,False,0.0
RJ,INSS,1320,460,INSS,False,0.3485
RJ,FAZ,2133,493,Fazenda (Receita Federal),False,0.2311
RJ,IF,5126,304,Institutos Federais,False,0.0593
RJ,UNIV,22442,3776,Universidades,False,0.1683
RJ,IBGE,994,0,IBGE,False,0.0
SP,INSS,3260,547,INSS,False,0.1678
SP,FAZ,4138,716,Fazenda (Receita Federal),False,0.173
SP,IF,4572,114,Institutos Federais,False,0.0249
SP,UNIV,8435,767,Universidades,False,0.0909
SP,IBGE,295,0,IBGE,False,0.0
PR,INSS,780,90,INSS,False,0.1154
PR,FAZ,1392,291,Fazenda (Receita Federal),False,0.2091
PR,IF,2546,46,Institutos Federais,False,0.0181
PR,UNIV,9596,549,Universidades,False,0.0572
PR,IBGE,147,0,IBGE,False,0.0
SC,INSS,970,93,INSS,False,0.0959
SC,FAZ,604,124,Fazenda (Receita Federal),False,0.2053
SC,IF,2660,84,Institutos Federais,False,0.0316
SC,UNIV,5836,607,Universidades,False,0.104
SC,IBGE,122,0,IBGE,False,0.0
RS,INSS,1097,147,INSS,False,0.134
RS,FAZ,1362,247,Fazenda (Receita Federal),False,0.1814
RS,IF,2304,47,Institutos Federais,False,0.0204
RS,UNIV,16192,1167,Universidades,False,0.0721
RS,IBGE,136,0,IBGE,False,0.0
MS,INSS,207,55,INSS,False,0.2657
MS,FAZ,240,56,Fazenda (Receita Federal),False,0.2333
MS,IF,1176,<5,Institutos Federais,True,
MS,UNIV,4615,337,Universidades,False,0.073
MS,IBGE,69,0,IBGE,False,0.0
MT,INSS,230,42,INSS,False,0.1826
MT,FAZ,118,36,Fazenda (Receita Federal),False,0.3051
MT,IF,1961,64,Institutos Federais,False,0.0326
MT,UNIV,3289,321,Universidades,False,0.0976
MT,IBGE,53,0,IBGE,False,0.0
GO,INSS,391,108,INSS,False,0.2762
GO,FAZ,278,79,Fazenda (Receita Federal),False,0.2842
GO,IF,2000,98,Institutos Federais,False,0.049
GO,UNIV,4620,483,Universidades,False,0.1045
GO,IBGE,99,0,IBGE,False,0.0
DF,INSS,795,204,INSS,False,0.2566
DF,FAZ,3615,422,Fazenda (Receita Federal),False,0.1167
DF,IF,3679,19,Institutos Federais,False,0.0052
DF,UNIV,6210,490,Universidades,False,0.0789
DF,IBGE,75,0,IBGE,False,0.0
