cod_ibge_mun,nome_norm,uf
3104106,ARCEBURGO,MG
3503356,ARCO-IRIS,SP
2601201,ARCOVERDE,PE
3104304,AREADO,MG
3503406,AREALVA,SP
2501153,AREIA DE BARAUNAS,PB
2501203,AREIAL,PB
3503505,AREIAS,SP
3503604,AREIOPOLIS,SP
5101308,ARENAPOLIS,MT
5202353,ARENOPOLIS,GO
3104403,ARGIRITA,MG
3104452,ARICANDUVA,MG
3104502,ARINOS,MG
5101407,ARIPUANA,MT
1100023,ARIQUEMES,RO
3503703,ARIRANHA,SP
4101853,ARIRANHA DO IVAI,PR
3300233,ARMACAO DOS BUZIOS,RJ
4201505,ARMAZEM,SC
2301505,ARNEIROZ,CE
2200905,AROAZES,PI
2501302,AROEIRAS,PB
2200954,AROEIRAS DO ITAIM,PI
2201002,ARRAIAL,PI
3300258,ARRAIAL DO CABO,RJ
1702406,ARRAIAS,TO
4301008,ARROIO DO MEIO,RS
4301073,ARROIO DO PADRE,RS
4301057,ARROIO DO SAL,RS
4301206,ARROIO DO TIGRE,RS
4301107,ARROIO DOS RATOS,RS
4301305,ARROIO GRANDE,RS
4201604,ARROIO TRINTA,SC
3503802,ARTUR NOGUEIRA,SP
5202502,ARUANA,GO
4201653,ARVOREDO,SC
4301404,ARVOREZINHA,RS
4201703,ASCURRA,SC
3503950,ASPASIA,SP
2301604,ASSARE,CE
1200054,ASSIS BRASIL,AC
4102000,ASSIS CHATEAUBRIAND,PR
2501351,ASSUNCAO,PB
2201051,ASSUNCAO DO PIAUI,PI
3104601,ASTOLFO DUTRA,MG
4102109,ASTORGA,PR
1300201,ATALAIA DO NORTE,AM
4201802,ATALANTA,SC
3104700,ATALEIA,MG
3504107,ATIBAIA,SP
3200706,ATILIO VIVACQUA,ES
1702554,AUGUSTINOPOLIS,TO
1500909,AUGUSTO CORREA,PA
3104809,AUGUSTO DE LIMA,MG
4301503,AUGUSTO PESTANA,RS
2902401,AURELINO LEAL,BA
3504206,AURIFLAMA,SP
5202601,AURILANDIA,GO
1500958,AURORA DO PARA,PA
1702703,AURORA DO TOCANTINS,TO
1300300,AUTAZES,AM
3504404,AVANHANDAVA,SP
1501006,AVEIRO,PA
2201101,AVELINO LOPES,PI
5202809,AVELINOPOLIS,GO
1702901,AXIXA DO TOCANTINS,TO
1703008,BABACULANDIA,TO
2101202,BACABAL,MA
2101251,BACABEIRA,MA
2101301,BACURI,MA
2101350,BACURITUBA,MA
3504602,BADY BASSITT,SP
3104908,BAEPENDI,MG
2501401,BAIA DA TRAICAO,PB
2401404,BAIA FORMOSA,RN
2902500,BAIANOPOLIS,BA
2902609,BAIXA GRANDE,BA
2201150,BAIXA GRANDE DO RIBEIRO,PI
2301802,BAIXIO,CE
3200805,BAIXO GUANDU,ES
3504701,BALBINOS,SP
3105004,BALDIM,MG
5203104,BALIZA,GO
4201950,BALNEARIO ARROIO DO SILVA,SC
4202057,BALNEARIO BARRA DO SUL,SC
4202008,BALNEARIO CAMBORIU,SC
4202073,BALNEARIO GAIVOTA,SC
4212809,BALNEARIO PICARRAS,SC
4301636,BALNEARIO PINHAL,RS
4220000,BALNEARIO RINCAO,SC
4102307,BALSA NOVA,PR
3504800,BALSAMO,SP
2101400,BALSAS,MA
3105103,BAMBUI,MG
2301851,BANABUIU,CE
3504909,BANANAL,SP
2501500,BANANEIRAS,PB
3105202,BANDEIRA,MG
3105301,BANDEIRA DO SUL,MG
4202081,BANDEIRANTE,SC
1703057,BANDEIRANTES DO TOCANTINS,TO
1501253,BANNACH,PA
2902658,BANZAE,BA
3505005,BARAO DE ANTONINA,SP
3105400,BARAO DE COCAIS,MG
4301701,BARAO DE COTEGIPE,RS
2101509,BARAO DE GRAJAU,MA
5101605,BARAO DE MELGACO,MT
3105509,BARAO DO MONTE ALTO,MG
4301750,BARAO DO TRIUNFO,RS
3105608,BARBACENA,MG
2301901,BARBALHA,CE
3505104,BARBOSA,SP
4102505,BARBOSA FERRAZ,PR
1501303,BARCARENA,PA
2401503,BARCELONA,RN
1300409,BARCELOS,AM
3505203,BARIRI,SP
2201176,BARRA D'ALCANTARA,PI
2902807,BARRA DA ESTIVA,BA
2601300,BARRA DE GUABIRABA,PE
2501609,BARRA DE SANTA ROSA,PB
2501575,BARRA DE SANTANA,PB
2700508,BARRA DE SANTO ANTONIO,AL
3200904,BARRA DE SAO FRANCISCO,ES
5101704,BARRA DO BUGRES,MT
3505351,BARRA DO CHAPEU,SP
2902906,BARRA DO CHOCA,BA
2101608,BARRA DO CORDA,MA
5101803,BARRA DO GARCAS,MT
4301859,BARRA DO GUARITA,RS
4102703,BARRA DO JACARE,PR
2903003,BARRA DO MENDES,BA
1703073,BARRA DO OURO,TO
3300308,BARRA DO PIRAI,RJ
4301875,BARRA DO QUARAI,RS
4301909,BARRA DO RIBEIRO,RS
4301925,BARRA DO RIO AZUL,RS
2903102,BARRA DO ROCHA,BA
3505401,BARRA DO TURVO,SP
2800605,BARRA DOS COQUEIROS,SE
4301958,BARRA FUNDA,RS
3105707,BARRA LONGA,MG
3300407,BARRA MANSA,RJ
4202107,BARRA VELHA,SC
2201200,BARRAS,PI
2301950,BARREIRA,CE
2903201,BARREIRAS,BA
2201309,BARREIRAS DO PIAUI,PI
1300508,BARREIRINHA,AM
2101707,BARREIRINHAS,MA
2601409,BARREIROS,PE
3505500,BARRETOS,SP
3505609,BARRINHA,SP
2201408,BARRO DURO,PI
2903300,BARRO PRETO,BA
2903276,BARROCAS,BA
1703107,BARROLANDIA,TO
2302057,BARROQUINHA,CE
4302006,BARROS CASSAL,RS
3105905,BARROSO,MG
3505708,BARUERI,SP
3505807,BASTOS,SP
5001904,BATAGUASSU,MS
3505906,BATATAIS,SP
5002001,BATAYPORA,MS
2302107,BATURITE,CE
2501807,BAYEUX,PB
3506102,BEBEDOURO,SP
2302206,BEBERIBE,CE
2302305,BELA CRUZ,CE
5002100,BELA VISTA,MS
4102752,BELA VISTA DA CAROBA,PR
5203302,BELA VISTA DE GOIAS,GO
3106002,BELA VISTA DE MINAS,MG
2101772,BELA VISTA DO MARANHAO,MA
4102802,BELA VISTA DO PARAISO,PR
2201556,BELA VISTA DO PIAUI,PI
4202131,BELA VISTA DO TOLDO,SC
2101731,BELAGUA,MA
2601508,BELEM DE MARIA,PE
2502003,BELEM DO BREJO DO CRUZ,PB
2201572,BELEM DO PIAUI,PI
2601607,BELEM DO SAO FRANCISCO,PE
3300456,BELFORD ROXO,RJ
3106101,BELMIRO BRAGA,MG
2903508,BELO CAMPO,BA
3106200,BELO HORIZONTE,MG
2601706,BELO JARDIM,PE
2700904,BELO MONTE,AL
3106309,BELO ORIENTE,MG
3106408,BELO VALE,MG
1501451,BELTERRA,PA
2201606,BENEDITINOS,PI
2101806,BENEDITO LEITE,MA
4202206,BENEDITO NOVO,SC
1501501,BENEVIDES,PA
1300607,BENJAMIN CONSTANT,AM
4302055,BENJAMIN CONSTANT DO SUL,RS
3506201,BENTO DE ABREU,SP
2401602,BENTO FERNANDES,RN
4302105,BENTO GONCALVES,RS
2101905,BEQUIMAO,MA
3106507,BERILO,MG
3106655,BERIZAL,MG
2502052,BERNARDINO BATISTA,PB
3506300,BERNARDINO DE CAMPOS,SP
2101939,BERNARDO DO MEARIM,MA
1703206,BERNARDO SAYAO,TO
3506359,BERTIOGA,SP
2201705,BERTOLINIA,PI
3106606,BERTOPOLIS,MG
1300631,BERURI,AM
2601805,BETANIA,PE
2201739,BETANIA DO PIAUI,PI
2601904,BEZERROS,PE
3106804,BIAS FORTES,MG
4202305,BIGUACU,SC
3107000,BIQUINHAS,MG
3506508,BIRIGUI,SP
3506607,BIRITIBA MIRIM,SP
2903607,BIRITINGA,BA
4102901,BITURUNA,PR
4202404,BLUMENAU,SC
4103024,BOA ESPERANCA DO IGUACU,PR
5101837,BOA ESPERANCA DO NORTE,MT
3506706,BOA ESPERANCA DO SUL,SP
2201770,BOA HORA,PI
2903706,BOA NOVA,BA
2502102,BOA VENTURA,PB
4103040,BOA VENTURA DE SAO ROQUE,PR
2302404,BOA VIAGEM,CE
4103057,BOA VISTA DA APARECIDA,PR
4302154,BOA VISTA DAS MISSOES,RS
4302204,BOA VISTA DO BURICA,RS
4302220,BOA VISTA DO CADEADO,RS
2101970,BOA VISTA DO GURUPI,MA
4302238,BOA VISTA DO INCRA,RS
1300680,BOA VISTA DO RAMOS,AM
4302253,BOA VISTA DO SUL,RS
2903805,BOA VISTA DO TUPIM,BA
2701001,BOCA DA MATA,AL
1300706,BOCA DO ACRE,AM
3107208,BOCAINA DE MINAS,MG
4202438,BOCAINA DO SUL,SC
3107307,BOCAIUVA,MG
4103107,BOCAIUVA DO SUL,PR
2602001,BODOCO,PE
5002159,BODOQUENA,MS
3506904,BOFETE,SP
3507001,BOITUVA,SP
2602100,BOM CONSELHO,PE
3107406,BOM DESPACHO,MG
4202503,BOM JARDIM DA SERRA,SC
5203401,BOM JARDIM DE GOIAS,GO
3107505,BOM JARDIM DE MINAS,MG
2903904,BOM JESUS DA LAPA,BA
3107604,BOM JESUS DA PENHA,MG
2903953,BOM JESUS DA SERRA,BA
2102036,BOM JESUS DAS SELVAS,MA
5203500,BOM JESUS DE GOIAS,GO
3107703,BOM JESUS DO AMPARO,MG
5101852,BOM JESUS DO ARAGUAIA,MT
3107802,BOM JESUS DO GALHO,MG
3300605,BOM JESUS DO ITABAPOANA,RJ
3201100,BOM JESUS DO NORTE,ES
4202578,BOM JESUS DO OESTE,SC
4103156,BOM JESUS DO SUL,PR
3507100,BOM JESUS DOS PERDOES,SP
2102077,BOM LUGAR,MA
4302352,BOM PRINCIPIO,RS
2201919,BOM PRINCIPIO DO PIAUI,PI
4302378,BOM PROGRESSO,RS
3107901,BOM REPOUSO,MG
4202602,BOM RETIRO,SC
4302402,BOM RETIRO DO SUL,RS
3507159,BOM SUCESSO DE ITARARE,SP
4103222,BOM SUCESSO DO SUL,PR
4202453,BOMBINHAS,SC
2201929,BONFIM DO PIAUI,PI
5203559,BONFINOPOLIS,GO
3108206,BONFINOPOLIS DE MINAS,MG
2904001,BONINAL,BA
3108255,BONITO DE MINAS,MG
2502409,BONITO DE SANTA FE,PB
5203575,BONOPOLIS,GO
2502508,BOQUEIRAO,PB
4302451,BOQUEIRAO DO LEAO,RS
2201945,BOQUEIRAO DO PIAUI,PI
2800670,BOQUIM,SE
2904100,BOQUIRA,BA
3507308,BORACEIA,SP
3108305,BORDA DA MATA,MG
3507456,BOREBI,SP
4103305,BORRAZOPOLIS,PR
4302501,BOSSOROCA,RS
3108404,BOTELHOS,MG
3507506,BOTUCATU,SP
3108503,BOTUMIRIM,MG
2904209,BOTUPORA,BA
4202701,BOTUVERA,SC
4302584,BOZANO,RS
4202800,BRACO DO NORTE,SC
4202859,BRACO DO TROMBUDO,SC
1501709,BRAGANCA,PA
3507605,BRAGANCA PAULISTA,SP
4103354,BRAGANEY,PR
2701100,BRANQUINHA,AL
3108701,BRAS PIRES,MG
1501725,BRASIL NOVO,PA
5002308,BRASILANDIA,MS
3108552,BRASILANDIA DE MINAS,MG
4103370,BRASILANDIA DO SUL,PR
1703602,BRASILANDIA DO TOCANTINS,TO
1200104,BRASILEIA,AC
2201960,BRASILEIRA,PI
5300108,BRASILIA,DF
3108602,BRASILIA DE MINAS,MG
5101902,BRASNORTE,MT
3507704,BRAUNA,SP
3108800,BRAUNAS,MG
5203609,BRAZABRANTES,GO
3108909,BRAZOPOLIS,MG
2602407,BREJAO,PE
3201159,BREJETUBA,ES
1703701,BREJINHO DE NAZARE,TO
3507753,BREJO ALEGRE,SP
2602605,BREJO DA MADRE DE DEUS,PE
2102150,BREJO DE AREIA,MA
2502805,BREJO DO CRUZ,PB
2201988,BREJO DO PIAUI,PI
2502904,BREJO DOS SANTOS,PB
2800704,BREJO GRANDE,SE
1501758,BREJO GRANDE DO ARAGUAIA,PA
2302503,BREJO SANTO,CE
2904308,BREJOES,BA
2904407,BREJOLANDIA,BA
1501782,BREU BRANCO,PA
1501808,BREVES,PA
5203807,BRITANIA,GO
4302659,BROCHIER,RS
3507803,BRODOWSKI,SP
3507902,BROTAS,SP
2904506,BROTAS DE MACAUBAS,BA
3109006,BRUMADINHO,MG
2904605,BRUMADO,BA
4202875,BRUNOPOLIS,SC
4202909,BRUSQUE,SC
3109105,BUENO BRANDAO,MG
3109204,BUENOPOLIS,MG
2602704,BUENOS AIRES,PE
2904704,BUERAREMA,BA
2602803,BUIQUE,PE
1200138,BUJARI,AC
1501907,BUJARU,PA
3508108,BURITAMA,SP
2102200,BURITI,MA
5203906,BURITI ALEGRE,GO
2102309,BURITI BRAVO,MA
5203939,BURITI DE GOIAS,GO
1703800,BURITI DO TOCANTINS,TO
2202000,BURITI DOS LOPES,PI
2202026,BURITI DOS MONTES,PI
2102325,BURITICUPU,MA
5203962,BURITINOPOLIS,GO
2904753,BURITIRAMA,BA
2102358,BURITIRANA,MA
3508207,BURITIZAL,SP
3109402,BURITIZEIRO,MG
1300839,CAAPIRANGA,AM
2503001,CAAPORA,PB
5002407,CAARAPO,MS
2904803,CAATIBA,BA
2503100,CABACEIRAS,PB
2904852,CABACEIRAS DO PARAGUACU,BA
3109451,CABECEIRA GRANDE,MG
5204003,CABECEIRAS,GO
2202059,CABECEIRAS DO PIAUI,PI
2503209,CABEDELO,PB
1100031,CABIXI,RO
2602902,CABO DE SANTO AGOSTINHO,PE
3300704,CABO FRIO,RJ
3109501,CABO VERDE,MG
3508306,CABRALIA PAULISTA,SP
3508405,CABREUVA,SP
2603009,CABROBO,PE
4203006,CACADOR,SC
3508504,CACAPAVA,SP
4302808,CACAPAVA DO SUL,RS
1100601,CACAULANDIA,RO
4302907,CACEQUI,RS
5102504,CACERES,MT
2904902,CACHOEIRA,BA
5204102,CACHOEIRA ALTA,GO
3109600,CACHOEIRA DA PRATA,MG
5204201,CACHOEIRA DE GOIAS,GO
3109709,CACHOEIRA DE MINAS,MG
3102704,CACHOEIRA DE PAJEU,MG
1502004,CACHOEIRA DO ARARI,PA
1501956,CACHOEIRA DO PIRIA,PA
4303004,CACHOEIRA DO SUL,RS
2503308,CACHOEIRA DOS INDIOS,PB
2102374,CACHOEIRA GRANDE,MA
3508603,CACHOEIRA PAULISTA,SP
3300803,CACHOEIRAS DE MACACU,RJ
3201209,CACHOEIRO DE ITAPEMIRIM,ES
2503407,CACIMBA DE AREIA,PB
2503506,CACIMBA DE DENTRO,PB
2503555,CACIMBAS,PB
2701209,CACIMBINHAS,AL
4303202,CACIQUE DOBLE,RS
1100049,CACOAL,RO
3508702,CACONDE,SP
2905008,CACULE,BA
3109907,CAETANOPOLIS,MG
2905156,CAETANOS,BA
2603207,CAETES,PE
2905206,CAETITE,BA
2905305,CAFARNAUM,BA
4103404,CAFEARA,PR
4103479,CAFEZAL DO SUL,PR
3508900,CAIABU,SP
3110103,CAIANA,MG
5204409,CAIAPONIA,GO
4303301,CAIBATE,RS
2401859,CAICARA DO NORTE,RN
2401909,CAICARA DO RIO DO VENTO,RN
3509007,CAIEIRAS,SP
3509205,CAJAMAR,SP
2102408,CAJAPIO,MA
2102507,CAJARI,MA
3509254,CAJATI,SP
2503704,CAJAZEIRAS,PB
2202075,CAJAZEIRAS DO PIAUI,PI
2503753,CAJAZEIRINHAS,PB
3509304,CAJOBI,SP
2701308,CAJUEIRO,AL
2202083,CAJUEIRO DA PRAIA,PI
3110202,CAJURI,MG
3509403,CAJURU,SP
2603306,CALCADO,PE
1600204,CALCOENE,AP
3110301,CALDAS,MG
2503803,CALDAS BRANDAO,PB
5204508,CALDAS NOVAS,GO
5204557,CALDAZINHA,GO
2905503,CALDEIRAO GRANDE,BA
2202091,CALDEIRAO GRANDE DO PIAUI,PI
4103503,CALIFORNIA,PR
4203154,CALMON,SC
2603405,CALUMBI,PE
2905602,CAMACAN,BA
2905701,CAMACARI,BA
3110400,CAMACHO,MG
2503902,CAMALAU,PB
2905800,CAMAMU,BA
3110509,CAMANDUCAIA,MG
5002605,CAMAPUA,MS
4303509,CAMAQUA,RS
2603454,CAMARAGIBE,PE
4303558,CAMARGO,RS
4103602,CAMBARA,PR
4303608,CAMBARA DO SUL,RS
4103800,CAMBIRA,PR
4203204,CAMBORIU,SC
3300902,CAMBUCI,RJ
3110608,CAMBUI,MG
3110707,CAMBUQUIRA,MG
1502103,CAMETA,PA
2302602,CAMOCIM,CE
2603504,CAMOCIM DE SAO FELIX,PE
3110806,CAMPANARIO,MG
3110905,CAMPANHA,MG
4303673,CAMPESTRE DA SERRA,RS
5204607,CAMPESTRE DE GOIAS,GO
2102556,CAMPESTRE DO MARANHAO,MA
4103909,CAMPINA DA LAGOA,PR
4303707,CAMPINA DAS MISSOES,RS
3509452,CAMPINA DO MONTE ALEGRE,SP
4103958,CAMPINA DO SIMAO,PR
2504009,CAMPINA GRANDE,PB
4104006,CAMPINA GRANDE DO SUL,PR
3111101,CAMPINA VERDE,MG
5204656,CAMPINACU,GO
5102603,CAMPINAPOLIS,MT
3509502,CAMPINAS,SP
2202109,CAMPINAS DO PIAUI,PI
4303806,CAMPINAS DO SUL,RS
5204706,CAMPINORTE,GO
5204805,CAMPO ALEGRE DE GOIAS,GO
2905909,CAMPO ALEGRE DE LOURDES,BA
2202117,CAMPO ALEGRE DO FIDALGO,PI
3111150,CAMPO AZUL,MG
3111200,CAMPO BELO,MG
4203402,CAMPO BELO DO SUL,SC
4303905,CAMPO BOM,RS
4104055,CAMPO BONITO,PR
2801009,CAMPO DO BRITO,SE
3111309,CAMPO DO MEIO,MG
4104105,CAMPO DO TENENTE,PR
4203501,CAMPO ERE,SC
